Nr.,Planungsraum,,Status 1,Status 2,Status 3,Status 4,Status 5, Status 6,Dynamik 1,Dynamik 2,Dynamik 3,Dynamik 4,Dynamik 5,Dynamik 6,E 1,E 2,E 3,E 4,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,E 14,E 15,E 16,E 17,E 18,E 19,E 20,E 21,E 22,      E 23
08010406,Treptower Straße Nord,"6,056  ",17.2,13.5,6.5,31.8,75.5,81.1,43.1,0.7,-3.4,-0.3,1.3,1.4,23.9,0.1,0.1,7.1,16.0,16.1,31.1,50.1,25.2,81.8,10.5,4.3,1.3,4.7,3.0,4.3,2.6,7.3,-1.6,-1.1,-0.9,29.8,40.8
08010407,Gewerbegebiet Ederstraße,735  ,13.7,7.9,2.9,22.6,52.8,58.7,41.4,3.1,-17.2,0.6,-4.4,-38.9,31.0,4.1,0.3,4.1,10.2,9.9,28.8,43.5,13.3,40.0,11.2,0.4,2.4,4.9,4.5,1.4,1.0,5.9,0.2,-3.5,-0.9,26.6,29.7
08010508,Weiße Siedlung,"4,859  ",16.0,11.0,6.8,37.5,74.3,79.9,31.4,6.0,15.3,0.1,1.4,2.6,12.9,1.8,0.0,8.0,22.8,15.1,28.9,56.5,21.2,84.2,15.9,2.2,0.4,3.3,1.1,2.9,2.1,4.0,-1.4,-0.4,0.3,27.3,50.5
08010509,Schulenburgpark,"7,596  ",17.3,10.5,6.2,38.4,75.0,75.7,41.7,6.8,23.1,1.3,-1.6,0.5,19.7,1.4,0.0,8.2,23.7,16.5,27.7,53.2,21.0,76.6,14.0,3.7,0.4,2.6,1.5,3.9,2.6,5.4,-1.6,-1.2,-0.9,30.2,45.5
08010510,Gewerbegebiet Köllnische Heide,262  ,7.8,10.9,3.7,14.9,31.0,80.0,33.8,-0.4,-16.7,-1.7,-5.9,-29.0,50.0,-4.8,-1.9,3.8,13.4,5.7,48.1,63.0,34.3,100.0,14.9,1.1,0.0,13.4,3.4,15.3,8.4,18.7,-3.7,10.9,0.4,14.7,20.6
08020619,Buschkrugallee Nord,"9,058  ",12.5,8.1,4.6,24.7,61.7,67.4,28.7,0.8,-2.0,-0.4,-0.8,1.0,16.6,0.2,-0.2,5.8,16.8,19.1,20.6,39.6,17.7,66.2,8.2,2.5,0.5,2.9,1.3,3.6,3.0,4.9,-0.9,-0.6,-0.6,21.0,37.4
08020620,Tempelhofer Weg,"8,562  ",11.3,6.7,4.3,21.5,56.7,65.6,25.8,0.5,-1.5,-1.0,-0.3,-0.7,18.3,0.1,-0.3,5.2,14.3,24.3,15.3,33.3,17.6,70.9,6.1,2.5,0.5,1.8,1.1,2.3,1.9,3.4,-2.2,-0.8,-0.2,19.4,35.6
08020621,Mohriner Allee Nord,"2,353  ",2.4,1.4,0.5,2.3,6.5,29.6,16.3,0.7,12.3,-0.4,3.0,1.4,9.4,0.2,-0.3,4.6,17.4,16.1,5.7,18.2,1.5,46.3,1.5,0.3,0.4,0.8,1.1,0.4,0.4,1.4,-0.4,0.3,-0.3,3.1,3.0
08020622,Parchimer Allee,"13,864  ",8.8,7.7,2.7,14.8,38.1,34.5,21.7,0.7,3.3,-0.6,-0.1,-2.1,15.1,0.4,-0.2,4.0,13.4,24.4,9.0,19.7,5.7,33.8,3.1,0.6,0.6,1.2,0.8,1.6,1.4,2.5,-0.8,0.6,-0.4,14.6,34.1
08020623,Ortolanweg,"1,215  ",7.5,4.8,2.1,14.5,42.1,39.4,19.8,-0.4,0.0,-0.4,14.2,0.5,12.5,-1.6,0.8,2.8,14.4,21.7,8.9,21.5,9.1,35.3,1.6,1.8,0.5,0.5,1.6,1.5,1.0,3.0,-0.8,-3.5,-1.0,11.7,47.2
08020624,Britzer Garten,997  ,10.9,7.2,3.1,15.5,35.6,33.3,17.3,2.8,2.1,-1.0,-2.9,4.1,4.2,2.7,0.4,3.6,13.2,21.7,9.2,20.1,9.1,25.0,4.5,0.0,0.7,0.7,0.9,1.5,1.2,2.4,0.6,2.2,-0.7,17.6,32.6
08020625,Handwerker-Siedlung,"3,100  ",6.1,3.8,1.9,8.9,14.5,35.2,18.7,1.1,8.8,-0.6,-4.2,-1.8,11.4,0.5,0.7,3.8,14.7,25.0,9.7,20.0,4.8,45.4,1.9,0.4,0.4,1.1,2.6,1.6,1.3,4.3,-0.8,0.4,-0.7,10.2,18.6
08020726,Buckow West,"8,144  ",5.6,4.1,1.9,9.2,23.2,32.7,19.6,-0.1,2.1,-0.7,-2.8,-2.0,18.9,0.0,-0.3,3.6,14.0,24.4,7.6,18.8,4.0,37.5,2.4,0.3,0.4,1.1,1.1,1.3,1.0,2.4,-1.5,-0.6,-0.7,8.9,24.5
08020727,Buckow Mitte,"11,230  ",6.5,3.5,2.2,11.0,30.9,37.9,18.9,0.1,6.2,-0.1,0.5,0.9,14.5,-0.2,-0.5,3.5,15.9,26.7,6.3,18.7,5.7,43.9,2.0,0.4,0.4,1.1,0.7,1.0,0.9,1.8,-1.0,-1.4,-0.5,10.1,27.7
08020728,Buckow Ost,"7,603  ",7.1,5.0,2.4,14.8,38.8,41.6,26.1,0.4,-0.3,-0.8,-0.9,-1.1,17.9,-0.7,-0.2,4.0,15.7,23.5,11.3,26.2,8.1,45.0,2.9,0.8,0.9,1.8,1.9,1.5,1.2,3.4,-2.0,-0.4,-0.6,13.1,24.2
