Nummer,Name,EW 31.12.2014,Status-Index                    (Klasse),,Dynamik-Index             (Klasse),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,S4 new,EW 31.12. 2014,zS1,zS2,zS3,zS4,Status-summe,Status-Index (standardisierte Statussumme),Zuordnung Klasse Status-Index ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamik-Index (standardisierte Dynamik-summe),Zuordnung Klasse Dynamik-Index ,K 01,K 02,K 03,K04,K 05,K16,K 06,K 17,K 07,K 08,K 14,K 15,K 09,K 10,K 11,K 12,K 13
01044101,Rehberge,"19,903",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",10.83,3.62,20.84,53.79,-1.07,-0.26,-0.41,-0.95,54.73,"19,903",1.03,1.00,1.00,1.26,4.29,1.11,niedrig,-0.38,0.12,-0.22,0.03,-0.45,-0.16,stabil,5.06,36.21,7.74,70.19,44.22,27.65,1.80,57.16,37.65,3.11,1.69,34.78,99.56,57.58,30.65,1.43,-1.22
01044102,Schillerpark,"15,792",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10.41,3.13,18.43,52.51,-1.80,-0.93,0.98,0.99,51.52,"15,792",0.90,0.59,0.72,1.20,3.41,0.88,mittel,-1.10,-1.25,1.08,0.68,-0.59,-0.22,stabil,5.17,38.96,5.56,62.04,34.84,20.78,1.57,56.92,36.72,45.90,1.80,34.75,67.34,58.70,25.48,2.82,-3.16
01044103,Westliche Müllerstraße,"8,076",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",10.29,3.16,19.03,52.02,-1.63,-0.67,-1.18,-1.72,53.74,"8,076",0.87,0.61,0.79,1.18,3.44,0.89,mittel,-0.94,-0.71,-0.94,-0.23,-2.82,-1.04,positiv,4.70,29.46,15.17,78.96,48.17,31.17,2.24,59.63,31.88,5.23,1.65,34.81,100.00,52.42,35.42,1.46,-7.06
01044201,Reinickendorfer Straße,"23,103",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",13.66,3.94,32.45,72.09,-1.42,-1.10,0.34,0.64,71.45,"23,103",1.88,1.27,2.34,2.17,7.65,1.98,sehr niedrig,-0.72,-1.57,0.47,0.56,-1.26,-0.46,stabil,7.01,28.10,15.09,89.33,65.77,41.77,0.32,65.61,50.47,11.90,1.34,28.64,99.99,52.02,36.28,1.12,-3.53
01044202,Sparrplatz,"16,636",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",10.22,3.37,20.64,57.92,-0.73,-0.14,-1.62,-2.56,60.48,"16,636",0.85,0.79,0.98,1.47,4.08,1.06,niedrig,-0.05,0.36,-1.35,-0.51,-1.55,-0.57,stabil,4.46,26.43,13.59,79.49,55.91,38.68,1.43,62.33,30.82,3.12,1.49,31.20,98.32,46.35,44.08,1.22,-7.67
01044203,Leopoldplatz,"15,985",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",12.36,3.59,27.87,66.23,-1.53,-1.18,0.61,0.15,66.08,"15,985",1.49,0.98,1.81,1.88,6.16,1.59,sehr niedrig,-0.83,-1.75,0.73,0.40,-1.46,-0.54,stabil,5.56,29.12,15.84,83.21,56.07,36.99,0.64,60.83,43.80,8.20,1.51,31.56,100.00,51.11,36.99,1.72,-3.86
02010101,Askanischer Platz,"6,106",4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",12.13,4.06,26.88,59.57,-0.68,-0.79,-2.39,-3.06,62.62,"6,106",1.42,1.36,1.70,1.55,6.03,1.56,sehr niedrig,0.00,-0.95,-2.06,-0.68,-3.69,-1.36,positiv,5.00,23.63,24.57,88.87,68.80,39.24,2.66,68.99,33.81,11.47,1.58,32.25,73.40,53.51,37.84,0.32,-6.85
02010102,Mehringplatz,"13,047",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",14.40,5.32,33.66,64.43,-0.17,-0.22,-1.33,-4.11,68.54,"13,047",2.10,2.42,2.48,1.79,8.79,2.27,sehr niedrig,0.51,0.19,-1.08,-1.03,-1.42,-0.52,stabil,7.44,23.95,22.12,90.56,66.02,30.54,0.05,74.20,52.40,19.82,1.49,31.00,38.49,60.83,26.68,0.25,-0.42
02010103,Moritzplatz,"15,589",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",16.69,6.13,36.77,72.12,-1.16,-0.64,-0.80,-1.38,73.50,"15,589",2.79,3.10,2.84,2.17,10.90,2.82,sehr niedrig,-0.47,-0.66,-0.58,-0.11,-1.83,-0.67,stabil,7.81,26.36,16.15,88.43,67.36,34.14,0.51,82.58,62.58,41.28,1.42,28.16,98.42,65.92,22.96,-0.16,-3.02
02010104,Wassertorplatz,"5,145",4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",13.40,4.73,35.69,70.52,-2.18,-1.10,-1.62,1.21,69.30,"5,145",1.80,1.92,2.71,2.09,8.53,2.21,sehr niedrig,-1.48,-1.58,-1.35,0.75,-3.66,-1.35,positiv,7.44,23.28,28.86,83.74,63.67,32.13,0.25,76.41,61.33,0.00,1.44,31.36,88.38,65.90,23.62,0.43,-6.49
