Nummer,Name,EW 31.12.2012,Statusindex                    (Gruppe),,Dynamikindex             (Gruppe),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,zS1,zS2,zS3,zS4,Status-summe,Statusindex (standardisierte Statussumme),Zuordnung Gruppe Statusindex ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamikindex (standardisierte Dynamik-summe),Zuordnung Gruppe Dynamik-index ,K 01,K 02,K 03,K04,K 05,K 06,K 07,K 08,K 09,K 10,K 11,K 12,K 13
12103218,Teichstraße,"12,775",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10.57,2.92,20.00,55.48,-0.93,-0.51,0.20,0.94,0.67,0.14,0.89,1.16,2.86,0.74,mittel,-0.20,-0.74,0.36,0.80,0.22,0.08,stabil,7.89,42.12,5.52,61.27,34.72,2.06,39.21,1.30,85.03,56.07,27.67,2.00,-0.60
12103219,Schäfersee,"8,389",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11.48,3.44,19.95,59.39,-1.36,-0.54,1.06,-0.27,0.92,0.51,0.88,1.35,3.65,0.94,mittel,-0.65,-0.79,1.22,0.45,0.22,0.08,stabil,7.71,40.34,3.85,64.57,33.79,2.42,40.80,0.00,85.76,56.96,26.27,2.93,2.63
12103220,Humboldtstraße,"4,541",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.37,2.82,12.46,32.33,-0.51,0.11,-0.23,-0.54,0.35,0.06,0.01,0.07,0.49,0.13,mittel,0.25,0.54,-0.06,0.37,1.09,0.39,stabil,7.24,40.95,3.53,43.07,22.86,1.26,24.49,0.88,97.29,64.41,22.32,0.68,-4.21
12214125,Waldidyll/Flughafensee,"7,089",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",5.37,1.34,6.39,17.81,0.87,0.00,0.46,0.56,-0.73,-1.01,-0.69,-0.62,-3.04,-0.78,mittel,1.71,0.32,0.62,0.69,3.34,1.19,negativ,3.62,27.62,1.39,36.68,21.79,0.12,10.48,1.92,32.68,57.99,26.57,-0.46,3.89
12214126,Tegel Süd,"7,506",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11.19,3.90,19.14,49.32,-0.35,0.10,-1.24,-3.36,0.84,0.84,0.79,0.87,3.34,0.86,mittel,0.42,0.52,-1.07,-0.45,-0.58,-0.21,stabil,7.98,40.16,5.87,52.00,29.64,0.53,41.10,68.39,0.41,63.79,20.68,0.75,-0.91
12214421,Reinickes Hof,"2,456",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",9.90,2.55,15.92,39.09,-2.30,-0.82,-0.62,-6.00,0.49,-0.13,0.41,0.39,1.16,0.30,mittel,-1.66,-1.37,-0.45,-1.22,-4.70,-1.67,positiv,3.92,39.56,4.17,46.51,26.87,3.29,31.49,0.00,91.04,55.42,29.11,2.70,-1.75
12214422,Klixstraße,"7,522",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",13.33,3.99,27.51,67.83,-0.99,-0.71,0.06,1.13,1.41,0.91,1.76,1.74,5.82,1.50,sehr niedrig,-0.26,-1.14,0.23,0.86,-0.32,-0.11,stabil,7.43,35.52,9.49,74.64,49.36,2.39,44.93,43.66,99.96,52.22,32.69,4.79,4.13
12214423,Mellerbogen,"5,506",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10.26,2.80,14.09,43.84,0.37,-0.07,-0.85,-6.16,0.59,0.04,0.20,0.61,1.45,0.37,mittel,1.18,0.17,-0.68,-1.27,-0.60,-0.21,stabil,8.17,37.20,3.72,57.72,31.87,1.14,33.85,2.30,100.00,66.64,21.18,1.24,0.14
12214424,Scharnweberstraße,"9,736",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",12.16,3.83,22.59,60.06,-0.89,0.04,0.03,-0.79,1.10,0.79,1.19,1.38,4.46,1.15,niedrig,-0.16,0.40,0.19,0.30,0.74,0.26,stabil,8.25,39.77,6.08,67.58,39.63,3.02,41.82,0.18,100.00,56.98,30.36,1.68,-0.56
12214527,Alt-Tegel,"10,064",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.62,1.87,6.93,16.63,-0.44,-0.17,-0.38,-3.07,-0.66,-0.63,-0.63,-0.67,-2.59,-0.67,mittel,0.32,-0.04,-0.21,-0.37,-0.30,-0.11,stabil,3.13,32.22,2.60,34.46,16.80,0.75,15.68,0.00,0.44,60.62,22.95,1.23,-1.99
12214528,Tegeler Forst,205,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12224229,Konradshöhe/Tegelort,"5,972",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.62,1.19,1.91,5.08,0.58,0.19,-0.43,-0.68,-1.20,-1.12,-1.21,-1.22,-4.75,-1.22,hoch,1.41,0.71,-0.26,0.33,2.19,0.78,stabil,2.18,22.46,0.36,23.62,11.47,0.07,2.56,0.00,0.00,72.41,15.70,1.33,9.21
12224230,Heiligensee,"17,707",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.15,0.76,2.54,5.56,-0.10,-0.17,-0.06,0.13,-1.32,-1.43,-1.14,-1.20,-5.09,-1.31,hoch,0.68,-0.03,0.11,0.56,1.32,0.47,stabil,2.00,22.71,1.00,18.78,10.33,0.48,4.72,2.10,21.22,73.22,15.55,0.54,9.49
