Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
145124,,,,, 1 ," 2,123 ", 2 ," 1,635 ",,,,,,,,, 1 ," 1,709 ",,, 1 , 788 ,,,,,,,,, 1 ," 2,065 ",,, 1 ," 1,974 ",,,,, 1 ," 2,740 ",,,
145125,,, 1 ," 1,943 ", 4 ," 1,551 ",,, 2 ," 1,038 ",,,,,,,,,,,,, 3 ," 2,315 ", 2 ," 2,571 ", 5 ," 2,278 ", 1 ," 1,882 ",,, 1 ," 2,047 ", 1 ," 2,439 ",,, 1 ," 3,518 ", 2 ," 3,501 ",,,
145127,,,,,,,,, 1 , 558 , 1 ," 1,545 ", 1 ," 1,084 ",,,,, 1 ," 1,333 ",,,,, 1 ," 1,712 ",,,,,,, 2 ," 2,425 ", 8 ," 3,079 ", 13 ," 4,451 ", 10 ," 4,635 ", 2 ," 3,046 ",,,
145130,,,,, 1 ," 2,615 ", 1 ," 1,570 ",,,,,,,,,,,,,,,,, 1 ," 1,803 ",,, 1 ," 1,957 ",,,,,,,,, 4 ," 3,460 ",,,,,
145131,,, 2 ," 1,383 ",,, 2 ," 1,279 ",,,,, 1 , 935 , 3 ," 1,169 ", 4 ," 1,135 ",,, 10 ,, 5 ," 1,389 ", 2 ," 1,385 ", 2 , 584 , 8 ," 2,387 ", 9 ," 2,834 ", 1 ," 6,035 ", 3 ," 2,393 ", 1 ," 2,781 ",,, 2 ," 4,196 ",,,
145133, 1 ," 2,077 ",,,,, 7 ," 1,696 ", 11 ," 1,597 ", 3 ," 1,399 ", 1 ," 1,350 ", 1 ," 1,768 ", 1 ," 1,382 ", 13 ," 1,361 ", 4 ," 1,352 ", 2 ," 1,415 ", 2 ," 1,927 ", 2 ," 1,978 ", 4 ," 2,141 ", 1 ," 1,784 ", 3 ," 2,519 ", 2 ," 1,955 ",,, 1 , 995 , 1 ," 4,880 ",,,
145134,,,,,,,,,,,,, 1 ," 1,163 ",,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,
145136, 1 ," 2,164 ", 5 ," 2,097 ", 3 ," 1,815 ", 3 ," 1,805 ", 1 ," 1,965 ",,,,,,, 1 ," 1,529 ", 1 ," 1,845 ", 1 , 824 ,,,,, 1 ," 2,003 ",,, 1 ," 2,553 ",,,,,,,,,,,,,
145137, 9 ," 1,060 ", 3 ," 1,479 ",,, 1 ," 1,604 ", 3 , 816 ,,, 3 , 589 , 17 ," 1,165 ", 2 ," 1,668 ", 1 , 872 , 1 ," 1,274 ", 3 ," 1,227 ", 10 ," 2,532 ", 8 ," 2,593 ", 1 , 442 , 2 ," 2,247 ", 2 ," 2,168 ", 2 ," 2,574 ", 1 ," 3,679 ", 3 ," 3,656 ", 4 ," 3,361 ", 2 ," 3,848 ",
145138,,,,,,, 6 , 950 , 1 ,, 2 , 258 , 7 ," 1,042 ", 1 ," 1,906 ", 4 ," 1,710 ", 3 ," 1,913 ", 1 ," 1,985 ",,,,, 2 , 831 , 1 ," 1,282 ", 1 ," 2,218 ",,, 1 ," 2,131 ", 3 ," 3,888 ", 16 ," 4,750 ", 23 ," 4,935 ",,,
145139,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,853 ",,,,,,, 1 ," 1,509 ",,,,,,,,, 1 ," 4,108 ",,,
145140,,, 1 ," 1,319 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,788 ", 1 ," 3,625 ", 4 ," 2,607 ", 2 ," 3,361 ", 3 ," 3,617 ",,,
145141, 2 , 931 , 4 , 901 , 1 , 423 , 1 ," 1,114 ",,,,,,, 3 ," 1,218 ", 3 , 621 , 2 ," 1,378 ", 1 ," 1,015 ", 2 ," 1,463 ", 1 ," 1,785 ",,,,, 1 ," 1,616 ",,, 2 ," 3,137 ",,,,,,,,,
145142,,, 1 , 913 ,,, 1 , 731 ,,,,,,, 2 ," 1,197 ",,, 1 , 376 , 1 ,,,,,, 2 ," 1,145 ", 1 ," 2,414 ",,, 2 ," 3,407 ",,,,,,, 3 ," 3,408 ",,,
145151,,,,,,,,,,,,,,,,,,, 2 , 629 ,,,,,,, 1 ," 2,906 ",,, 1 ," 2,408 ",,,,,,,,,,,,,
145153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 3,296 ", 2 ," 2,991 ", 16 ," 3,456 ", 10 ," 3,898 ",,,,,
145154,,,,,,, 1 , 440 ,,,,, 2 ," 1,206 ", 5 ," 1,236 ", 1 ,,,, 1 , 876 , 5 ," 1,106 ", 1 ," 1,136 ", 3 ," 1,604 ", 2 ," 1,384 ", 1 , 475 , 1 ," 2,085 ", 2 ," 2,562 ", 3 ," 2,393 ", 3 ," 2,963 ", 4 ," 2,700 ",,,
145155, 1 ," 3,040 ", 1 ,,,,,, 1 ," 1,052 ", 6 ," 1,519 ", 9 ," 1,263 ",,, 3 ," 1,118 ", 1 ," 1,161 ", 1 ," 1,406 ", 4 ," 1,399 ",,, 3 ," 1,728 ", 3 ," 1,737 ", 1 ," 1,997 ",,, 1 ," 3,508 ", 1 ," 3,996 ",,, 1 ," 2,901 ",,,
145156,,,,,,,,, 1 ," 1,062 ",,,,, 1 ," 1,274 ",,, 1 ," 1,596 ", 1 ," 1,350 ",,, 1 ," 1,166 ", 2 ," 1,890 ", 3 ," 1,500 ", 4 ," 2,070 ", 3 ," 2,066 ", 3 ," 2,897 ", 2 ," 3,403 ", 2 ," 4,492 ", 1 ," 2,881 ",,,
145158, 3 ," 1,050 ",,,,, 1 , 829 , 1 , 496 , 2 ," 1,009 ", 2 ," 1,175 ", 3 ," 1,425 ",,,,,,, 2 ," 1,220 ", 1 ," 1,433 ",,, 1 ," 1,341 ", 7 ," 1,669 ", 3 ," 1,678 ", 2 ," 2,598 ", 4 ," 3,333 ",,, 2 ," 3,218 ",,,
145159,,,,,,,,,,,,, 1 ," 1,936 ",,, 1 ," 1,070 ",,,,, 1 ," 1,474 ", 2 ," 1,391 ", 1 ," 1,555 ", 3 ," 2,027 ", 1 ," 1,858 ",,,,,,, 4 ," 2,670 ", 2 ," 3,429 ",,,
145160,,, 1 ," 1,527 ", 1 ," 1,660 ",,,,, 2 ," 1,370 ",,,,,,,,, 2 ," 1,587 ",,, 2 ," 1,891 ",,,,,,, 1 ," 3,179 ",,, 1 ," 2,541 ",,,,,,,
145161,,,,,,,,,,, 2 ," 1,500 ", 2 ," 1,388 ", 4 , 973 ,,, 1 ," 1,096 ", 1 , 742 , 2 ," 1,518 ", 3 ," 1,262 ", 1 ," 1,204 ", 1 ," 2,007 ", 1 ," 1,451 ", 1 ," 2,509 ",,, 4 ," 2,446 ",,,,,,,
145163,,,,,,,,,,,,,,, 1 , 502 , 1 , 897 , 1 , 644 , 2 , 879 ,,, 5 ," 1,120 ", 1 ," 2,139 ",,, 3 ," 1,517 ", 1 ," 2,677 ", 3 ," 1,854 ", 1 ," 3,527 ", 3 ," 3,055 ", 2 ," 3,574 ",,,
145164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 3,595 ", 20 ," 3,732 ", 5 ," 3,922 ",,,,,,,
145165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 4,432 ", 24 ," 3,600 ", 27 ," 3,805 ", 9 ," 4,024 ",,,,,
145166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7 ," 3,996 ", 55 ," 4,070 ", 12 ," 4,202 ", 1 ," 5,229 ",,,
145170,,,,,,,,,,,,,,,,,,,,, 9 ," 1,729 ", 6 ," 1,750 ",,,,,,,,, 3 ," 1,599 ",,, 2 ," 2,189 ", 2 ," 2,374 ", 1 ," 1,461 ",,,
145171,,,,,,,,, 1 ,, 1 , 432 ,,, 1 ," 1,293 ", 1 ," 1,027 ",,,,,,,,,,,,,,,,,,,,, 1 ," 4,211 ",,,,,
145174,,,,,,,,, 1 ,,,, 1 ," 1,898 ",,,,,,, 1 ," 1,722 ",,,,,,,,,,,,,,,,, 1 ," 3,938 ",,,,,
145175,,, 1 , -   ,,,,,,,,,,, 2 ," 1,648 ", 1 ," 1,116 ",,,,, 1 ," 1,686 ", 1 ," 1,807 ",,,,, 1 ," 2,500 ", 2 ," 2,974 ", 1 ," 2,813 ",,, 1 ," 3,205 ",,, 1 ," 3,698 ",
145176,,,,,,,,,,, 1 , 547 ,,, 1 ,, 1 ," 2,023 ",,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 4,082 ",
145178, 4 ," 1,947 ", 11 ," 1,816 ",,,,,,, 2 ," 1,138 ", 2 ," 1,589 ",,,,, 1 ," 1,648 ", 1 ," 1,906 ", 2 ," 1,431 ",,,,,,, 2 ," 2,237 ",,,,,,,,, 1 ," 4,131 ",,,
145179,,,,, 6 ," 1,526 ", 7 ," 1,666 ", 8 ," 1,680 ", 3 ," 1,695 ",,,,, 1 ," 1,437 ", 2 ," 2,103 ",,, 1 ," 1,009 ",,,,, 2 ," 2,156 ",,,,, 1 ," 3,119 ",,,,,,,,,
145180,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 3,917 ", 1 ," 3,155 ",,,
145183,,,,,,,,,,,,,,, 1 , 391 , 1 ,,,, 1 , 971 ,,,,,,, 1 ," 1,915 ",,, 1 ," 2,764 ",,,,,,,,,,,
145184,,,,,,,,,,, 2 ," 1,620 ",,,,,,,,,,,,,,,,, 1 ," 1,687 ",,,,,,,,, 1 ,,,,,,
145185,,,,,,,,,,,,,,,,,,, 2 ," 1,574 ",,,,,,,,,,,,,,,,,,,,,,,,,
145186,,,,,,,,,,, 7 ," 1,555 ", 4 ," 1,104 ", 3 ," 1,146 ",,,,, 1 ," 1,799 ",,,,,,,,, 1 ," 1,799 ",,,,,,,,, 1 ," 2,258 ", 3 ," 3,799 ",
145197,,,,,,,,,,,,,,,,,,,,,,,,, 7 ," 2,905 ", 14 ," 2,880 ",,,,, 1 ," 4,800 ",,, 1 ," 6,550 ",,,,,,,
145198,,,,,,,,,,,,,,,,,,,,,,,,, 8 ," 2,670 ", 12 ," 2,803 ",,,,,,,,,,,,,,,,,
145200,,,,,,,,,,,,,,,,,,,,,,,,, 3 ," 2,943 ", 3 ," 2,425 ",,,,,,,,,,, 1 ," 5,943 ",,,,,
145201,,,,,,,,,,,,,,,,,,, 3 ," 1,654 ", 2 ," 2,002 ",,,,, 4 ," 2,756 ", 6 ," 2,659 ", 22 ," 3,511 ", 39 ," 3,826 ", 20 ," 4,345 ", 7 ," 3,530 ", 2 ," 5,859 ", 1 ," 5,654 ",,,
145206,,,,,,,,,,,,,,,,,,, 46 ," 2,149 ", 227 ," 2,085 ", 23 ," 1,970 ", 30 ," 1,832 ", 20 ," 1,847 ", 4 ," 1,881 ", 3 ," 1,720 ", 2 ," 2,218 ", 1 ," 2,919 ", 5 ," 4,449 ", 31 ," 4,220 ", 62 ," 4,308 ", 11 ," 5,301 ",
145213,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145611,,,,,,,,,,,,,,,,,,,,, 8 ," 1,873 ", 3 ," 1,802 ",,,,,,,,,,,,,,,,,,,,,
145616,,,,,,,,,,,,,,,,,,,,,,, 2 ," 2,121 ", 2 ," 2,196 ",,,,,,,,,,,,, 1 ," 5,460 ",,,,,
145617,,,,,,,,,,,,,,,,,,,,, 1 ," 1,836 ", 21 ," 2,259 ", 7 ," 2,479 ",,,,,,,,, 1 ," 6,394 ",,,,, 1 ," 7,093 ", 1 ," 7,000 ",
146007,,, 72 , 292 , 9 ," 1,714 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 69 ," 3,141 ", 16 ," 3,436 ", 6 ," 4,063 ", 2 ," 2,780 ", 1 ,,
146014, 2 ," 23,421 ",,, 4 ," 2,378 ", 9 ," 2,309 ", 4 ," 1,948 ", 6 ," 2,332 ", 14 ," 2,396 ", 4 ," 2,314 ", 6 ," 2,395 ", 5 ," 2,406 ", 5 ," 2,811 ", 3 ," 2,780 ", 59 ," 1,562 ", 17 ," 1,761 ", 4 ," 3,021 ", 7 ," 3,027 ", 4 ," 2,262 ", 4 ," 4,213 ", 9 ," 4,714 ", 2 ," 4,799 ", 2 ," 5,425 ", 18 ," 7,847 ",
146015,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3 ,, 1 ,,,,,,,,,,,,,,
146613,,,,,,,,,,,,,,,,,,,,,,,,,,, 4 ," 3,383 ",,,,,,,,,,,,,,,,,
146619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,917 ",,,,,,,,,,,
146620,,,,,,,,,,,,,,,,,,,,,,,,, 6 ," 1,671 ", 1 ," 2,901 ",,,,,,,,,,,,,,,,,
146621,,,,,,,,,,,,,,, 76 ," 2,465 ", 20 ," 2,227 ", 11 ," 2,042 ",,, 1 ," 2,581 ", 1 ," 2,557 ", 2 ," 3,244 ",,,,, 3 ," 3,849 ", 1 ," 3,774 ", 8 ," 4,652 ", 3 ," 4,654 ", 3 ," 4,525 ",,,
146622,,,,,,,,,,,,,,, 42 ," 2,506 ", 1 ," 2,224 ", 6 ," 2,674 ", 20 ," 2,363 ", 2 ," 2,581 ", 13 ," 2,657 ",,, 3 ," 3,291 ",,,,, 4 ," 3,946 ", 4 ," 4,302 ", 8 ," 4,642 ", 3 ," 4,244 ",,,
146623,,,,,,,,,,,,,,,,,,,,,,, 6 , 981 ,,,,,,,,,,,,,,,,,,,,,
147001,,,,,,,,,,,,,,,,,,, 7 ," 1,312 ",,,,,,, 1 ," 1,269 ", 3 ," 1,109 ",,, 3 ," 1,310 ",,,,,,,,,,,
147002,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,993 ", 17 ," 2,115 ", 1 ," 2,224 ",,, 2 ," 2,263 ", 3 ," 3,381 ",,,,,,,,,
147003,,,,,,,,,,,,,,, 20 ," 1,904 ", 4 ," 1,923 ", 1 , 316 ,,,,, 2 , 939 , 7 ," 1,078 ", 4 ," 1,199 ", 5 ," 1,966 ", 4 ," 1,445 ", 4 ," 2,224 ", 3 ," 2,622 ", 5 ," 2,215 ", 3 ," 2,687 ",,,
147006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 6,634 ", 6 ," 6,132 ",
147007,,,,,,,,,,,,, 4 ," 1,743 ", 2 ," 1,666 ",,,,, 1 ," 1,000 ", 4 , 973 , 5 , 944 , 6 ," 1,161 ", 2 ," 1,046 ", 11 ," 2,727 ", 4 ," 2,924 ", 12 ," 4,143 ", 11 ," 4,318 ", 9 ," 2,795 ", 5 ," 3,790 ", 1 ," 4,994 ",
147011,,, 13 ," 1,626 ",,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 2,531 ",,,,,,, 1 ," 3,891 ",,,,,
147012,,,,,,,,,,,,, 2 ,,,,,, 1 ," 1,325 ",,, 1 ,, 3 ," 1,582 ", 2 ," 1,971 ",,, 5 ," 2,223 ", 1 ," 3,112 ", 1 ," 2,065 ",,, 2 ," 3,072 ", 2 ," 2,745 ",,,
147014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8 ," 4,195 ", 1 ," 4,001 ",,,,,
147017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 14 ," 2,969 ", 3 ," 3,559 ",,,,,,,,,
147021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16 ," 3,199 ",,, 1 ," 3,927 ",,,,,,,
147023,,,,,,,,,,,,,,,,, 5 ," 1,875 ", 5 ," 1,926 ", 1 ," 1,146 ", 2 ," 1,673 ", 15 ," 1,918 ", 12 ," 1,416 ", 3 ," 1,950 ", 2 ," 1,240 ", 2 ," 1,314 ", 2 ," 1,669 ", 4 ," 2,432 ", 2 ," 3,483 ",,,,,
147024,,,,,,,,,,,,, 11 , 965 ,,,,, 1 , 998 ,,,,,,, 1 , 894 , 2 ," 1,077 ", 2 ," 1,252 ", 2 ," 1,507 ",,,,,,,,,,,
147025,,,,,,,,,,,,,,,,,,,,,,,,, 7 ," 2,043 ", 42 ," 2,370 ", 5 ," 2,991 ",,, 1 ," 3,160 ",,, 1 ," 4,316 ",,,,,,,
147026,,, 25 ," 1,375 ",,, 7 ," 1,241 ", 4 ," 1,411 ", 6 ," 1,741 ", 1 ," 1,340 ",,, 4 ," 1,634 ",,, 2 , 528 , 3 , 854 , 3 , 874 , 2 ," 1,073 ", 2 , 971 , 6 ," 1,480 ", 3 ," 1,812 ", 2 ," 1,858 ", 2 ," 1,827 ", 1 ," 3,124 ", 4 ," 2,826 ",,,
147029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 3,403 ", 5 ," 3,295 ",,,,, 1 ," 5,451 ",,,,,
147031,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,146 ",,, 2 ," 1,159 ", 3 ," 1,418 ", 3 ," 1,458 ",,,,,,, 15 ," 6,278 ", 10 ," 7,173 ",
147032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 43 ," 3,851 ", 100 ," 4,168 ", 90 ," 4,302 ", 42 ," 4,299 ", 20 ," 4,199 ", 3 ,,
147033, 6 , 983 , 5 ," 1,566 ", 6 ," 1,058 ", 4 , 866 ,,, 2 , 922 , 3 , 782 ,,, 4 , 363 , 3 , 586 , 1 , 598 , 3 , 985 , 2 ," 1,104 ", 5 ," 1,219 ",,,,, 1 ," 1,157 ",,,,,,,,,,,
147034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 13 ," 3,339 ", 10 ," 4,314 ", 6 ," 4,692 ",,,
147035,,,,,,,,,,,,,,,,,,,,,,,,,,, 4 ," 3,043 ", 21 ," 3,130 ", 15 ," 3,401 ", 1 ," 3,171 ", 4 ," 2,723 ", 2 ," 4,714 ",,, 1 ," 4,990 ",,,
147037,,,,,,,,,,,,,,,,,,,,, 1 ," 1,073 ",,,,, 4 ," 1,414 ",,, 1 , 997 ,,,,, 1 ," 2,698 ", 26 ," 3,578 ", 6 ," 3,538 ", 1 ," 6,317 ",
147038,,,,,,,,,,,,,,,,,,,,,,,,,,, 30 ," 2,661 ", 14 ," 2,899 ",,,,,,, 3 ," 2,190 ", 2 ," 4,673 ",,,,,
147045,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 2,264 ", 2 ," 2,692 ",,, 5 ," 2,325 ", 2 ," 2,651 ", 6 ," 7,217 ", 30 ," 6,381 ", 4 ," 6,686 ", 1 ," 6,425 ",,,
147046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,717 ",,,,,
147047,,,,,,,,,,,,,,,,,,,,, 2 ," 1,259 ", 1 , 985 ,,,,,,,,,,,,,,,,, 1 ," 4,694 ",,,
147049,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,496 ", 3 ," 2,008 ", 1 ," 2,279 ",,, 1 ," 4,253 ", 2 ," 2,034 ",,,,,
147051, 2 ," 1,791 ",,,,,,, 1 , 950 ,,,,, 3 , 784 ,,, 2 , 712 ,,, 2 ," 1,380 ",,, 1 ," 1,488 ",,, 3 ," 3,363 ", 4 ," 2,566 ", 4 ," 2,977 ", 1 ," 3,506 ", 7 ," 6,351 ", 2 ," 5,595 ", 1 , 883 ,
147052,,,,, 1 , 664 ,,,,,,, 1 ,,,, 4 ," 1,392 ", 2 ," 1,184 ", 1 ," 1,305 ", 2 ," 1,282 ", 3 ," 1,164 ",,, 5 ," 2,298 ", 2 ," 2,051 ", 2 ," 2,339 ", 1 ," 3,297 ", 3 ," 2,785 ",,, 1 ," 3,914 ",,,
147053,,,,,,,,,,,,,,,,,,,,, 2 ," 2,377 ", 3 ," 2,295 ", 2 ," 1,254 ",,,,,,, 5 ," 2,269 ", 2 ," 2,518 ",,, 2 ," 3,848 ", 1 ,,,,
147054,,,,,,,,, 2 ," 1,354 ", 1 ," 1,496 ", 1 , 378 , 3 , 713 , 1 ," 1,342 ", 4 , 981 , 1 , 985 , 3 ," 1,393 ", 4 ," 1,641 ", 1 ," 2,154 ", 7 ," 1,728 ", 3 ," 1,849 ", 4 ," 3,037 ", 4 ," 3,392 ",,, 3 ," 4,786 ", 1 ," 4,084 ",,,
147055,,,,,,,,,,, 8 ," 2,025 ", 20 ," 2,057 ", 1 ," 2,188 ",,,,,,, 1 ," 2,226 ",,,,, 1 ," 2,581 ", 1 ," 2,306 ", 1 ," 2,133 ", 6 ," 4,223 ", 4 ," 3,704 ",,,,,,,
147064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 26 ," 3,667 ", 24 ," 4,397 ", 2 ," 5,019 ", 1 ," 4,872 ",,,
147074, 1 , 988 , 2 , 984 , 9 ," 1,221 ", 1 ," 1,273 ", 3 ," 1,355 ", 2 , 863 ,,,,,,,,, 1 , 790 , 1 , 957 , 1 , 837 , 3 ," 1,103 ",,,,,,, 1 ," 2,106 ", 1 ," 2,132 ",,, 1 , 970 ,,,
147078, 3 , 979 , 4 ," 1,003 ", 1 ," 1,388 ", 2 , 903 , 1 , 851 ,,, 5 , 742 , 1 ," 1,014 ",,,,,,,,,,, 1 ," 1,311 ",,,,, 111 ," 4,978 ", 188 ," 4,949 ", 6 ," 3,746 ", 6 ," 3,055 ",,,,,
147079, 2 , 796 , 2 , 870 , 2 , 747 ,,, 1 , 750 , 3 , 767 , 9 , 674 ,,,,, 1 , 877 , 1 , 614 , 2 ," 1,090 ", 1 , 897 , 17 ," 1,216 ", 55 ," 1,292 ", 120 ," 1,288 ", 3 ," 1,464 ", 5 ," 1,472 ", 4 ," 1,850 ",,, 5 ," 2,520 ",,,
147090,,,,,,,,,,,,,,,,, 17 ," 1,447 ", 18 ," 1,554 ", 8 ," 1,523 ", 1 ," 2,107 ", 1 ," 2,032 ",,, 2 ," 1,931 ", 1 ," 2,419 ", 1 ," 2,371 ",,,,,,, 2 ," 3,917 ", 1 ," 4,244 ",
147091,,,,,,,,,,,,,,,,,,,,, 35 ," 1,559 ", 18 ," 1,541 ",,,,,,, 1 ," 2,747 ", 1 ," 2,149 ", 1 ," 2,576 ",,,,,,,,,
147095, 5 ," 1,082 ", 5 , 934 , 9 , 797 , 5 , 767 , 1 , 767 ,,,,,,,,,,, 13 , 914 , 5 , 932 , 17 ," 1,055 ", 7 ," 1,061 ",,,,, 1 ," 1,463 ",,,,, 3 ," 2,245 ", 1 ," 2,764 ",,,
147098,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 3,549 ",,, 1 ," 2,583 ",,,,,,,,,,,
147103, 1 ,, 1 , 546 ,,, 1 , 630 , 4 , 508 , 7 , 709 , 1 , 798 , 7 , 632 , 1 ," 1,184 ", 2 ," 1,233 ", 3 , 827 ,,, 1 ," 1,333 ", 3 ," 1,563 ", 3 ," 1,361 ", 3 ," 1,902 ", 4 ," 1,813 ", 1 ," 1,741 ", 4 ," 2,228 ", 2 ," 3,777 ", 3 ," 3,648 ", 1 ," 3,652 ",
147109,,,,,,,,,,, 2 ,, 2 ," 1,168 ",,, 1 , 668 ,,, 1 , 956 ,,,,, 1 ," 1,539 ", 2 ," 1,388 ", 1 ," 1,478 ",,,,, 1 ," 1,800 ", 5 ," 3,522 ", 3 ," 3,829 ",,,
147110, 3 ," 1,208 ",,, 1 ," 1,592 ", 4 , 734 ,,, 3 , 496 , 2 , 620 , 1 , 668 , 1 ,, 1 ," 1,183 ", 1 ,, 4 , 981 , 6 ," 1,049 ", 6 ," 1,618 ",,, 5 ," 1,601 ", 1 ," 2,000 ", 5 ," 1,926 ", 2 ," 2,827 ", 1 ," 2,105 ", 2 ," 3,433 ",,,
147111,,,,,,, 46 ," 1,864 ", 77 ," 1,853 ", 85 ," 1,830 ", 15 ," 1,708 ",,,,,,,,,,,,, 1 ," 1,435 ", 1 ," 1,426 ", 4 ," 1,749 ", 14 ," 1,978 ", 9 ," 2,192 ", 16 ," 2,606 ", 15 ," 2,719 ", 9 ," 2,994 ", 2 ," 3,295 ",
147120,,,,,,, 27 ," 1,853 ",,,,,,,,,,,,,,, 57 ," 1,641 ", 3 ," 1,655 ", 1 ," 1,504 ", 2 ," 1,322 ", 3 ," 1,445 ", 45 ," 3,175 ", 86 ," 3,511 ", 72 ," 4,360 ", 6 ," 3,555 ", 1 ," 3,258 ", 1 ," 3,737 ",
147121,,,,,,,,,,, 5 ," 1,752 ", 5 ," 1,511 ", 1 , 707 , 1 , 779 ,,,,,,, 3 , 899 ,,, 1 ," 1,307 ", 1 ," 1,341 ", 3 ," 1,425 ",,,,, 1 ," 2,665 ",,,,,
147122,,,,,,, 2 ," 1,895 ",,,,, 3 ," 2,228 ", 17 ," 2,044 ", 12 ," 2,058 ", 3 ," 1,221 ", 4 ," 1,101 ", 2 ," 1,296 ", 4 ," 1,199 ",,, 1 ," 1,644 ", 8 ," 2,363 ", 5 ," 2,038 ", 14 ," 2,940 ", 7 ," 3,599 ", 8 ," 3,241 ", 3 ," 3,163 ",,,
147123,,,,,,,,,,,,,,,,,,,,,,,,, 5 ," 2,497 ", 16 ," 2,532 ", 23 ," 2,629 ", 1 ," 3,044 ",,,,, 1 ," 3,911 ", 37 ," 7,378 ", 11 ," 6,669 ", 7 ," 6,565 ",
147128,,,,,,,,,,,,,,, 4 , 847 , 3 ," 1,011 ", 1 , 646 , 1 , 784 , 1 , 854 , 1 ," 2,267 ", 5 ," 1,830 ",,, 2 ," 1,587 ", 1 ," 1,611 ", 2 ," 2,418 ",,,,,,,,,
147130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 36 ," 6,076 ", 3 ," 6,790 ",
147138, 5 , 957 , 1 , 945 ,,, 1 , 971 , 2 , 625 , 2 , 460 ,,, 2 , 775 ,,, 4 , 862 , 1 , 798 , 2 , 899 , 2 , 852 , 2 , 533 , 1 , 711 , 2 ," 1,615 ", 1 ," 2,000 ", 11 ," 1,852 ", 6 ," 2,453 ", 1 ," 2,819 ", 3 ," 3,432 ",,,
147143,,, 1 ," 1,052 ",,,,, 1 ," 1,105 ", 2 ," 1,108 ", 1 ," 1,089 ", 1 ," 1,134 ", 1 ," 1,116 ", 9 ," 1,026 ", 3 ," 1,217 ", 4 ," 1,210 ", 6 ," 1,528 ", 6 ," 1,179 ", 2 ," 1,914 ", 6 ," 1,975 ", 9 ," 1,925 ", 5 ," 2,430 ", 10 ," 2,505 ", 4 ," 3,064 ", 7 ," 3,800 ", 1 ," 4,460 ",
147147,,,,,,,,,,,,,,,,,,, 1 , 669 , 1 , 732 ,,, 1 , 748 ,,,,,,, 1 ," 1,433 ",,,,, 1 ," 2,745 ",,,,,
