Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
002053, 1 ," 1,202 ",,, 1 , 984 , 2 , 947 ,,,,,,,,, 2 , 917 , 2 ,, 1 , 972 , 1 , 899 , 3 ," 2,096 ", 2 ," 1,925 ", 2 ," 1,484 ", 1 ," 1,968 ", 1 ," 2,909 ", 6 ," 3,651 ", 4 ," 3,984 ", 1 ," 4,649 ", 4 ," 3,144 ",,,
002054, 1 , 165 ,,, 6 , 807 , 1 , 739 ,,, 3 , 768 , 68 ," 1,572 ", 1 , 826 , 2 ," 1,800 ",,, 3 , 931 , 1 ," 1,429 ", 8 , 962 , 12 ," 1,448 ", 8 ," 1,406 ", 10 ," 1,599 ", 4 ," 2,466 ", 9 ," 2,402 ", 7 ," 2,675 ", 5 ," 2,797 ", 3 ," 3,367 ", 1 ," 3,857 ",
002055, 2 , 844 , 2 ," 1,090 ", 1 ," 1,594 ", 4 , 864 ,,, 1 ,, 2 , 749 , 2 ,, 3 , 648 , 2 ,,,, 5 ," 1,042 ", 4 ,, 3 ," 1,637 ", 2 ," 2,787 ", 2 ," 1,448 ", 1 ," 2,984 ",,, 4 ," 2,687 ", 1 ," 2,531 ", 3 , 876 , 3 ," 3,097 ",
002056,,,,,,,,,,, 1 , 255 ,,, 1 , 963 ,,, 1 ," 1,209 ",,, 14 ," 2,905 ", 73 ," 2,698 ", 45 ," 3,271 ", 22 ," 3,705 ", 9 ," 2,872 ", 2 ," 2,652 ",,,,,,,,,,,
002060, 3 , 661 , 2 ," 3,889 ", 2 , 815 , 1 , 351 , 1 , 527 , 1 , 666 ,,,,, 1 , 590 , 1 ," 1,121 ", 4 ," 1,223 ", 1 ," 2,265 ",,, 2 ," 1,485 ", 2 ," 1,943 ",,, 5 ," 2,044 ",,, 3 ," 1,674 ", 3 ," 3,745 ",,,,,
002061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,364 ", 3 ," 1,438 ",,,,,,,,,,,
002063,,, 2 , 980 ,,, 4 ," 1,441 ", 10 ," 1,342 ", 1 , 407 , 4 ," 1,307 ",,, 2 ," 1,080 ", 2 , 875 , 2 ," 1,211 ", 4 ," 1,056 ", 7 ," 1,196 ", 1 , 843 ,,, 4 ," 1,521 ", 3 ," 2,434 ", 3 ," 2,483 ", 2 ," 2,432 ",,, 3 ," 4,416 ",,,
002064,,,,,,,,, 1 , 996 , 2 , 435 ,,,,, 1 , 806 ,,,,, 3 ," 1,314 ",,, 2 , 971 ,,,,, 1 ," 2,110 ",,,,,,, 7 ," 5,384 ", 2 ," 5,176 ",
002065, 3 ," 1,481 ", 2 ," 1,041 ", 4 ," 1,061 ", 1 , 944 , 1 , 494 , 1 ," 1,009 ",,, 2 , 595 , 2 , 887 , 1 , 833 , 1 , 976 , 1 , 987 , 1 ," 1,084 ", 4 ," 1,586 ", 1 ," 1,172 ", 3 ," 1,806 ", 4 ," 1,933 ", 2 ," 1,960 ", 4 ," 2,530 ", 4 ," 3,825 ", 1 ," 3,380 ",,,
002066,,,,, 1 ," 1,222 ",,, 2 ," 2,178 ", 2 ," 1,099 ", 1 ," 1,135 ", 1 ," 1,183 ",,,,, 1 , 869 , 1 , 529 ,,, 2 ," 1,803 ",,,,, 6 ," 3,196 ",,,,, 2 ," 2,356 ",,, 1 ," 4,074 ",
002067,,, 2 ," 1,328 ",,,,,,,,, 1 ," 1,214 ", 1 , 759 ,,,,,,,,, 1 ," 1,671 ", 1 , 788 ,,,,,,,,,,,,,,,,,
002068,,,,,,, 1 ," 1,415 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002069,,, 1 , 336 , 1 ," 1,287 ",,,,, 9 , 627 , 2 , 908 ,,,,,,, 1 ," 1,847 ",,,,,,, 2 ," 4,194 ", 2 ," 3,420 ", 9 ," 4,948 ", 25 ," 5,123 ", 35 ," 6,637 ", 12 ," 6,554 ",,,,,
002077, 2 ," 1,385 ",,,,, 1 , 355 ,,,,,,,,,,, 1 , 642 , 1 , 560 , 1 , 753 ,,, 2 , 887 , 2 ," 1,523 ", 1 ," 2,122 ", 43 ," 2,425 ", 9 ," 3,295 ", 4 ," 2,805 ", 7 ," 2,849 ", 28 ," 3,411 ", 6 ," 3,424 ",
002078, 2 , 913 ,,, 5 ," 1,068 ", 4 , 754 , 3 , 514 , 1 , 884 , 8 , 807 , 3 , 908 , 1 ," 1,053 ", 5 , 813 , 1 , 995 , 6 ," 1,051 ", 6 ," 1,406 ", 4 ," 1,626 ", 1 ," 2,393 ", 1 ," 2,105 ", 33 ," 2,447 ", 14 ," 3,231 ", 7 ," 3,424 ", 5 ," 3,262 ", 6 ," 3,613 ", 9 ," 3,658 ",
002079,,,,,,, 1 , 484 ,,,,,,,,,,, 1 , 875 ,,,,, 1 ," 2,006 ",,,,,,, 1 ," 3,074 ", 5 ," 6,233 ", 5 ," 6,570 ",,, 1 ," 5,000 ", 1 ," 4,917 ",
002080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 228 ," 5,018 ", 82 ," 4,959 ", 15 ," 3,869 ",,,,,,,
002081, 3 , 825 , 1 , 941 ,,, 2 , 406 , 4 , 677 , 3 , 680 , 4 , 763 , 1 , 604 , 10 , 895 , 6 , 975 , 4 , 641 , 10 , 976 , 8 ," 1,468 ", 28 ," 1,721 ", 4 ," 2,060 ", 5 ," 2,628 ", 10 ," 2,709 ", 8 ," 1,695 ", 5 ," 3,359 ", 7 ," 3,160 ", 3 ," 3,778 ", 3 ," 4,151 ",
002082, 2 , 483 , 1 ," 2,049 ", 1 , 532 , 3 ," 1,058 ", 5 , 827 , 5 , 683 , 4 , 585 , 5 ," 1,182 ", 1 , 632 ,,, 3 , 764 , 6 ," 1,421 ", 11 ," 1,816 ", 6 ," 2,666 ", 3 ,, 3 ," 2,774 ", 3 ," 2,682 ", 1 ," 2,815 ", 6 ," 3,410 ", 4 ," 3,553 ", 2 ," 2,875 ",,,
002650,,,,,,,,,,,,,,,,, 2 ," 1,210 ", 2 ," 1,209 ", 1 ," 1,139 ",,, 3 ," 1,348 ",,,,,,,,,,,,,,,,,,,
003001, 6 ," 1,526 ", 9 ," 1,368 ", 5 ," 1,495 ", 5 ," 1,360 ", 4 ," 1,273 ", 8 ," 1,156 ", 3 ," 1,222 ", 2 ," 1,588 ", 3 ," 1,893 ", 3 ," 1,683 ", 4 ," 1,759 ",,, 2 ," 2,294 ", 3 ," 2,413 ", 1 ," 2,134 ", 1 ," 2,346 ", 2 ," 3,081 ", 2 ," 3,574 ",,, 1 ," 4,443 ", 3 ," 5,531 ", 1 ," 7,944 ",
