ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200212;11020514;11;02;05;14;2;410;222;188;3;3;9;3;0;0;3;3;9;3;0;0;45;84;58;44;59;27;19;13;7;6;9;0;0;0;0;3;0;0;0;0;3;15;18;0;129;227;15;3;0
200212;11020515;11;02;05;15;2;490;264;226;4;3;6;9;9;3;0;12;16;9;7;14;23;40;21;33;58;56;63;58;19;12;9;0;3;0;3;0;0;0;0;0;4;27;47;14;63;308;21;6;0
200212;11020516;11;02;05;16;2;62;32;30;0;0;3;6;0;3;0;3;0;0;0;0;0;6;0;9;12;4;6;7;3;0;0;0;0;0;0;0;0;0;0;0;0;9;6;0;6;41;0;0;0
200212;11030617;11;03;06;17;2;426;243;183;3;3;9;15;10;6;9;13;21;15;3;28;36;37;0;22;52;50;39;21;15;3;3;0;3;0;0;10;0;0;0;0;3;37;67;28;73;199;6;13;0
200212;11030618;11;03;06;18;2;1049;560;489;17;3;3;19;6;6;7;24;25;24;12;33;65;139;65;87;163;101;85;50;45;33;9;7;3;0;9;6;0;0;3;0;17;31;98;33;204;596;49;18;3
200212;11030619;11;03;06;19;2;788;463;325;6;3;6;24;12;9;9;20;21;9;6;21;19;30;35;57;114;101;101;76;47;25;12;3;4;9;6;3;0;0;0;0;6;45;74;21;49;531;40;22;0
200212;11030720;11;03;07;20;2;2176;1774;402;6;15;3;27;9;6;18;30;19;33;9;28;59;170;72;93;203;270;302;344;239;129;33;13;13;12;15;3;3;0;0;0;6;54;115;28;229;1523;175;43;3
200212;11030721;11;03;07;21;2;1454;890;564;9;12;3;13;27;19;15;35;40;26;10;47;72;107;63;127;204;192;168;120;52;32;15;13;3;3;9;3;12;3;0;0;9;55;145;47;179;926;60;18;15
200212;11030824;11;03;08;24;2;1129;593;536;13;13;13;23;13;18;13;29;34;40;22;42;65;179;68;98;127;103;90;43;37;15;9;3;3;7;9;0;0;0;0;0;13;62;156;42;244;566;27;19;0
200212;11040925;11;04;09;25;2;324;196;128;0;0;3;3;3;0;0;0;0;7;4;9;12;33;13;20;84;39;35;22;17;10;3;7;0;0;0;0;0;0;0;0;0;9;11;9;45;230;20;0;0
